gvkey,yq,debt_ebitda_wr,efftax_wr,debt_at_wr,intcov_ratio_wr,delta3y_lev_ft,dv_wr,bm_wr,zscore_ft,cash_pred_ft,ab_ret3m_ft,num3m_seo_ft,seo_flag
1004,2015q1,3.7597895,0.33800623,0.30148092,3.3682172,-0.068368018,0.069711544,0.854433,1326.7957,144.60001,0.012056786,66,0
1004,2016q2,1.0841874,0.33851472,0.10269745,10.109374,-0.2289044,0.068783067,0.84095579,655.96729,37.099998,0.088641696,24,0
1004,2016q3,1.4293892,0.34087238,0.10497547,11.385965,-0.22481978,0.064356431,0.78663927,645.16943,48.300003,0.003764893,34,0
1004,2016q4,2.2658229,0.34150076,0.10836809,12.773583,-0.2074165,0.061032865,0.78028882,664.0462,16,-0.012237413,29,0
1004,2017q1,4.6895604,0.34752744,0.1136409,14.98,-0.2091642,0.053078558,0.76640546,663.36401,9.2000008,0.002013248,34,0
1004,2017q3,6.9963374,0.31128407,0.12469805,14.508772,-0.15964946,0.049429659,0.70531201,714.30762,-16.999998,-0.007598381,35,0
1004,2017q4,3.6371238,0.3081761,0.14084052,13.200001,-0.14434151,0.047706421,0.60349768,670.14624,-22.699999,0.042186424,30,0
1004,2018q1,2.0549684,0.088719897,0.12855442,11.863013,-0.1729265,0.03506311,0.57682496,731.97412,42.900002,0.006914848,40,0
1004,2018q2,1.4007906,0.045336787,0.11621959,10.75,0.014569424,0.035519127,0.56730372,734.95642,50.600002,-0.011712356,38,0
1004,2018q3,1.5876993,0.016867468,0.13597347,10.869048,0.019957438,0.033292234,0.71738863,804.0481,49.199993,-0.026067976,44,0
1004,2018q4,1.5770893,-0.031128407,0.13645431,10.955555,0.02548077,0.03291139,0.82989186,838.80017,47.899998,-0.087079912,24,0
1004,2019q1,1.2254494,0.082524277,0.11458131,11.085107,-0.013999499,0.034574468,0.69714713,763.83038,74.099998,0.031457216,29,0
1004,2019q2,0.92312706,0.055056181,0.093395732,11.652631,-0.009301722,0.031100478,0.62861109,717.61133,77.400002,0.039199077,41,0
1004,2019q3,1.8268015,0.067950174,0.17170697,11.947916,0.066731505,0.035452321,0.57759917,753.49707,90.800003,0.002133707,25,0
1004,2019q4,1.8248447,0.089820355,0.16741695,12.988889,0.059048854,0.028665932,1.4785198,801.29358,103.8,-0.19193737,45,0
1004,2020q1,1.8219926,0.12860893,0.16397835,13.670455,0.050337449,0.039393939,1.2809811,809.79156,62.799999,-0.019397952,53,0
1004,2020q2,4.5609593,0.18421052,0.32929292,11.44086,0.2247121,0.10526315,1.3600363,1268.6676,352.89999,-0.062479913,91,0
1050,2015q1,3.2792623,0.13490255,0.27047777,6.6984506,0.1509594,0.16959235,0.68848479,82.219177,-11.174,0.022782745,59,0
1050,2015q2,3.0438218,0.16400935,0.26800817,6.3086681,0.15049091,0.22263193,0.74184376,83.572685,-15.130002,-0.074399948,46,0
